title,channel_title,category,views,likes,engagement_rate,like_ratio,trending_score
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,424538912,2818771,0.0069,0.9497,0.5939
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,413586699,2768654,0.0069,0.95,0.5837
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,402650804,2719005,0.007,0.9504,0.5735
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,392036878,2670723,0.0071,0.9508,0.5636
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,382401497,2618320,0.0071,0.9511,0.5546
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,372399338,2564815,0.0071,0.9513,0.5453
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,362111555,2506788,0.0072,0.9517,0.5357
"NOUVEAUX CONCOURS GAGNE TON KITS SLIMES, SLIME LICORNE, PÃ‚TES A MODELER FOAM, ...",Ã‰lodieCrÃ©a,Film & Animation,12632,2913,0.4807,0.9905,0.5319
Ma maman m'a enlevÃ© mon chat...,Forlan TV,People & Blogs,11473,2562,0.4785,0.9749,0.5287
Nigthcore ( SpÃ©cial 3M ) - Burn,Oka,People & Blogs,1096,445,0.5278,0.9955,0.5287
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,349987176,2440754,0.0072,0.9522,0.5244
Des Questions ? (pour F.A.Q.),permaculture agroÃ©cologie etc...,Education,640,78,0.4446,0.963,0.5234
GUCCI MADE ME PINK CUSTOM LUGGAGE! + HANDBAG GIVEAWAY!,jeffreestar,Howto & Style,811601,108516,0.4383,0.9944,0.5225
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,339629489,2378829,0.0073,0.9526,0.5147
"Te Bote Remix - Casper, Nio GarcÃ­a, Darell, Nicky Jam, Bad Bunny, Ozuna | Video Oficial",Flow La Movie,Music,337621571,2581961,0.008,0.9394,0.5106
Bad Bunny - Amorfoda | Video Oficial,Bad Bunny,Music,328860380,3823879,0.0123,0.9466,0.5063
Nicky Jam x J. Balvin - X (EQUIS) | Video Oficial | Prod. Afro Bros & Jeon,NickyJamTV,Music,326890258,2308645,0.0073,0.9531,0.5028
"Te Bote Remix - Casper, Nio GarcÃ­a, Darell, Nicky Jam, Bad Bunny, Ozuna | Video Oficial",Flow La Movie,Music,328024035,2540597,0.0081,0.94,0.5017
BlocBoy JB & Drake Look Alive Prod By: Tay Keith (Official Music Video) Shot By: @Fredrivk_Ali,BlocBoy JB,Music,38441,17318,0.5065,0.9949,0.5004
Bad Bunny - Amorfoda | Video Oficial,Bad Bunny,Music,322211201,3795369,0.0125,0.9469,0.5002
