channel_title,total_videos,total_views,avg_views,avg_engagement
ChildishGambinoVEVO,73,10425338513,142812856.34,0.04
NickyJamTV,97,9118588957,94006071.72,0.02
Ozuna,99,8465233685,85507410.96,0.02
DrakeVEVO,86,7434941039,86452802.78,0.03
Marvel Entertainment,328,7037198870,21454874.6,0.03
Bad Bunny,43,6985297036,162448768.28,0.03
ibighit,234,6114791133,26131586.04,0.15
ArianaGrandeVevo,88,5920496720,67278371.82,0.05
jypentertainment,235,5317504752,22627679.8,0.06
Flow La Movie,34,5168434018,152012765.24,0.01
Ed Sheeran,148,5154215624,34825781.24,0.04
TaylorSwiftVEVO,141,4495041255,31879725.21,0.06
BeckyGVEVO,48,4331863502,90247156.29,0.02
YouTube Spotlight,63,4093294249,64972924.59,0.05
MalumaVEVO,126,3957811161,31411199.69,0.03
